"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"47","5",2015-07-08,189.5,"Arras","Amiens","Flat stage","André Greipel","GER"
"48","6",2015-07-09,191.5,"Abbeville","Le Havre","Flat stage","Zdenek Štybar","CZE"
"49","7",2015-07-10,190.5,"Livarot","Fougères","Flat stage","Mark Cavendish","GBR"
"50","8",2015-07-11,181.5,"Rennes","Mûr-de-Bretagne","Flat stage","Alexis Vuillermoz","FRA"
"51","9",2015-07-12,28,"Vannes","Plumelec","Team time trial","BMC Racing Team",NA
"52","10",2015-07-14,167,"Tarbes","La Pierre Saint-Martin","High mountain stage","Chris Froome","GBR"
"53","11",2015-07-15,188,"Pau","Cauterets","High mountain stage","Rafal Majka","POL"
"54","12",2015-07-16,195,"Lannemezan","Plateau de Beille","High mountain stage","Joaquim Rodríguez","ESP"
"55","13",2015-07-17,198.5,"Muret","Rodez","Medium mountain stage","Greg Van Avermaet","BEL"
"56","14",2015-07-18,178.5,"Rodez","Mende","Medium mountain stage","Steve Cummings","GBR"
"57","15",2015-07-19,183,"Mende","Valence","Medium mountain stage","André Greipel","GER"
"58","16",2015-07-20,201,"Bourg-de-Péage","Gap","Medium mountain stage","Rubén Plaza Molina","ESP"
"59","17",2015-07-22,161,"Digne-les-Bains","Pra-Loup","High mountain stage","Simon Geschke","GER"
"60","18",2015-07-23,186.5,"Gap","Saint-Jean-de-Maurienne","High mountain stage","Romain Bardet","FRA"
"61","19",2015-07-24,138,"Saint-Jean-de-Maurienne","La Toussuire - Les Sybelles","High mountain stage","Vincenzo Nibali","ITA"
"62","20",2015-07-25,110.5,"Modane","Alpe d'Huez","High mountain stage","Thibaut Pinot","FRA"
"63","21",2015-07-26,109.5,"Sèvres","Paris","Flat stage","André Greipel","GER"
"64","1",2014-07-05,190.5,"Leeds","Harrogate","Flat stage","Marcel Kittel","GER"
"65","2",2014-07-06,201,"York","Sheffield","Medium mountain stage","Vincenzo Nibali","ITA"
"66","3",2014-07-07,155,"Cambridge","London","Flat stage","Marcel Kittel","GER"
"67","4",2014-07-08,163.5,"Le Touquet-Paris-Plage","Lille Metropole","Flat stage","Marcel Kittel","GER"
"68","5",2014-07-09,152.5,"Ypres","Arenberg Porte du Hainaut","Medium mountain stage","Lars Boom","NED"
"69","6",2014-07-10,194,"Arras","Reims","Flat stage","André Greipel","GER"
"70","7",2014-07-11,234.5,"Épernay","Nancy","Flat stage","Matteo Trentin","ITA"
"71","8",2014-07-12,161,"Tomblaine","Gérardmer La Mauselaine","Medium mountain stage","Blel Kadri","FRA"
"72","9",2014-07-13,170,"Gérardmer","Mulhouse","Medium mountain stage","Tony Martin","GER"
"73","10",2014-07-14,161.5,"Mulhouse","La Planche des Belles Filles","High mountain stage","Vincenzo Nibali","ITA"
"74","11",2014-07-16,187.5,"Besançon","Oyonnax","Medium mountain stage","Tony Gallopin","FRA"
"75","12",2014-07-17,185.5,"Bourg-en-Bresse","Saint-Étienne","Flat stage","Alexander Kristoff","NOR"
"76","13",2014-07-18,197.5,"Saint-Étienne","Chamrousse","High mountain stage","Vincenzo Nibali","ITA"
"77","14",2014-07-19,177,"Grenoble","Risoul","High mountain stage","Rafal Majka","POL"
"78","15",2014-07-20,222,"Tallard","Nîmes","Flat stage","Alexander Kristoff","NOR"
