"","tdf_stages.Stage","tdf_stages.Date","tdf_stages.Distance","tdf_stages.Origin","tdf_stages.Destination","tdf_stages.Type","tdf_stages.Winner","tdf_stages.Winner_Country"
"1731","8",1936-07-15,194,"Grenoble","Briançon","Stage with mountain(s)","Jean-Marie Goasmat","FRA"
"1732","9",1936-07-16,220,"Briançon","Digne","Stage with mountain(s)","Léon Level","FRA"
"1733","10",1936-07-18,156,"Digne","Nice","Plain stage","Paul Maye","FRA"
"1734","11",1936-07-19,126,"Nice","Cannes","Stage with mountain(s)","Federico Ezquerra","ESP"
"1735","12",1936-07-21,195,"Cannes","Marseille","Plain stage","René Le Grevès","FRA"
"1736","13a",1936-07-22,112,"Marseille","Nîmes","Plain stage","René Le Grevès","FRA"
"1737","13b",1936-07-22,52,"Nîmes","Montpellier","Individual time trial","Sylvère Maes","BEL"
"1738","14a",1936-07-23,103,"Montpellier","Narbonne","Plain stage","René Le Grevès","FRA"
"1739","14b",1936-07-23,63,"Narbonne","Perpignan","Individual time trial","Sylvère Maes","BEL"
"1740","15",1936-07-25,325,"Perpignan","Luchon","Stage with mountain(s)","Sauveur Ducazeaux","FRA"
"1741","16",1936-07-27,194,"Luchon","Pau","Stage with mountain(s)","Sylvère Maes","BEL"
"1742","17",1936-07-29,229,"Pau","Bordeaux","Plain stage","René Le Grevès","FRA"
"1743","18a",1936-07-30,117,"Bordeaux","Saintes","Plain stage","Éloi Meulenberg","BEL"
"1744","18b",1936-07-30,75,"Saintes","La Rochelle","Individual time trial","Sylvère Maes","BEL"
"1745","19a",1936-07-31,81,"La Rochelle","La Roche-sur-Yon","Plain stage","Marcel Kint","BEL"
"1746","19b",1936-07-31,65,"La Roche-sur-Yon","Cholet","Individual time trial","Félicien Vervaecke","BEL"
"1747","19c",1936-07-31,67,"Cholet","Angers","Plain stage","Paul Maye","FRA"
"1748","20a",1936-08-01,204,"Angers","Vire","Plain stage","René Le Grevès","FRA"
"1749","20b",1936-08-01,55,"Vire","Caen","Individual time trial","Antonin Magne","FRA"
"1750","21",1936-08-02,234,"Caen","Paris","Plain stage","Arsène Mersch","LUX"
"1751","1",1935-07-04,262,"Paris","Lille","Plain stage","Romain Maes","BEL"
"1752","2",1935-07-05,192,"Lille","Charleville","Plain stage","Charles Pélissier","FRA"
"1753","3",1935-07-06,161,"Charleville","Metz","Plain stage","Rafaele di Paco","ITA"
"1754","4",1935-07-07,220,"Metz","Belfort","Stage with mountain(s)","Jean Aerts","BEL"
"1755","5a",1935-07-08,262,"Belfort","Geneva, Switzerland","Plain stage","Maurice Archambaud","FRA"
"1756","5b",1935-07-08,58,"Geneva","Evian","Individual time trial","Rafaele di Paco","ITA"
"1757","6",1935-07-10,207,"Evian","Aix-les-Bains","Stage with mountain(s)","René Vietto","FRA"
"1758","7",1935-07-11,229,"Aix-les-Bains","Grenoble","Stage with mountain(s)","Francesco Camusso","ITA"
"1759","8",1935-07-12,102,"Grenoble","Gap","Stage with mountain(s)","Jean Aerts","BEL"
"1760","9",1935-07-13,227,"Gap","Digne","Stage with mountain(s)","René Vietto","FRA"
"1761","10",1935-07-14,156,"Digne","Nice","Plain stage","Jean Aerts","BEL"
"1762","11",1935-07-16,126,"Nice","Cannes","Stage with mountain(s)","Romain Maes","BEL"
"1763","12",1935-07-17,195,"Cannes","Marseille","Plain stage","Charles Pélissier","FRA"
"1764","13a",1935-07-18,112,"Marseille","Nîmes","Plain stage","Vasco Bergamaschi","ITA"
"1765","13b",1935-07-18,56,"Nîmes","Montpellier","Individual time trial","Georges Speicher","FRA"
"1766","14a",1935-07-19,103,"Montpellier","Narbonne","Plain stage","René Le Grevès","FRA"
"1767","14b",1935-07-19,63,"Narbonne","Perpignan","Individual time trial","Maurice Archambaud","FRA"
"1768","15",1935-07-20,325,"Perpignan","Luchon","Stage with mountain(s)","Sylvère Maes","BEL"
"1769","16",1935-07-22,194,"Luchon","Pau","Stage with mountain(s)","Ambrogio Morelli","ITA"
"1770","17",1935-07-24,224,"Pau","Bordeaux","Plain stage","Julien Moineau","FRA"
"1771","18a",1935-07-25,158,"Bordeaux","Rochefort","Plain stage","René Le Grevès","FRA"
"1772","18b",1935-07-25,33,"Rochefort","La Rochelle","Individual time trial","André Leducq","FRA"
"1773","19a",1935-07-26,81,"La Rochelle","La Roche sur Yon","Plain stage","René Le Grevès","FRA"
"1774","19b",1935-07-26,95,"La Roche sur Yon","Nantes","Individual time trial","Jean Aerts","BEL"
"1775","20a",1935-07-27,220,"Nantes","Vire","Plain stage","René Le Grevès","FRA"
"1776","20b",1935-07-27,55,"Vire","Caen","Individual time trial","Ambrogio Morelli","ITA"
"1777","21",1935-07-28,221,"Caen","Paris","Plain stage","Romain Maes","BEL"
"1778","1",1934-07-03,262,"Paris","Lille","Plain stage","Georges Speicher","FRA"
"1779","2",1934-07-04,192,"Lille","Charleville","Plain stage","René Le Grevès","FRA"
"1780","3",1934-07-05,161,"Charleville","Metz","Plain stage","Roger Lapébie","FRA"
"1781","4",1934-07-06,220,"Metz","Belfort","Stage with mountain(s)","Roger Lapébie","FRA"
"1782","5",1934-07-07,293,"Belfort","Evian","Plain stage","René Le Grevès  Georges Speicher[n 2]","c(""FRA"", ""FRA"")"
"1783","6",1934-07-09,207,"Evian","Aix-les-Bains","Stage with mountain(s)","Georges Speicher","FRA"
"1784","7",1934-07-10,229,"Aix-les-Bains","Grenoble","Stage with mountain(s)","René Vietto","FRA"
"1785","8",1934-07-11,102,"Grenoble","Gap","Stage with mountain(s)","Giuseppe Martano","ITA"
"1786","9",1934-07-12,227,"Gap","Digne","Stage with mountain(s)","René Vietto","FRA"
"1787","10",1934-07-13,156,"Digne","Nice","Plain stage","René Le Grevès","FRA"
"1788","11",1934-07-15,126,"Nice","Cannes","Stage with mountain(s)","René Vietto","FRA"
"1789","12",1934-07-16,195,"Cannes","Marseille","Plain stage","Roger Lapébie","FRA"
"1790","13",1934-07-17,172,"Marseille","Montpellier","Plain stage","Georges Speicher","FRA"
"1791","14",1934-07-18,177,"Montpellier","Perpignan","Plain stage","Roger Lapébie","FRA"
"1792","15",1934-07-20,158,"Perpignan","Ax-les-Thermes","Plain stage","Roger Lapébie","FRA"
"1793","16",1934-07-21,165,"Ax-les-Thermes","Luchon","Stage with mountain(s)","Adriano Vignoli","ITA"
"1794","17",1934-07-22,91,"Luchon","Tarbes","Stage with mountain(s)","Antonin Magne","FRA"
"1795","18",1934-07-23,172,"Tarbes","Pau","Stage with mountain(s)","René Vietto","FRA"
"1796","19",1934-07-25,215,"Pau","Bordeaux","Plain stage","Ettore Meini","ITA"
"1797","20",1934-07-26,183,"Bordeaux","La Rochelle","Plain stage","Georges Speicher","FRA"
"1798","21a",1934-07-27,81,"La Rochelle","La Roche sur Yon","Plain stage","René Le Grevès","FRA"
"1799","21b",1934-07-27,90,"La Roche sur Yon","Nantes","Individual time trial","Antonin Magne","FRA"
"1800","22",1934-07-28,275,"Nantes","Caen","Plain stage","Raymond Louviot","FRA"
"1801","23",1934-07-29,221,"Caen","Paris","Plain stage","Sylvère Maes","BEL"
"1802","1",1933-06-27,262,"Paris","Lille","Plain stage","Maurice Archambaud","FRA"
"1803","2",1933-06-28,192,"Lille","Charleville","Plain stage","Learco Guerra","ITA"
"1804","3",1933-06-29,166,"Charleville","Metz","Plain stage","Alfons Schepers","BEL"
"1805","4",1933-06-30,220,"Metz","Belfort","Stage with mountain(s)","Jean Aerts","BEL"
"1806","5",1933-07-01,293,"Belfort","Evian","Stage with mountain(s)","Léon Louyet","BEL"
"1807","6",1933-07-03,207,"Evian","Aix-les-Bains","Stage with mountain(s)","Learco Guerra","ITA"
"1808","7",1933-07-04,229,"Aix-les-Bains","Grenoble","Stage with mountain(s)","Learco Guerra","ITA"
"1809","8",1933-07-05,102,"Grenoble","Gap","Stage with mountain(s)","Georges Speicher","FRA"
"1810","9",1933-07-06,227,"Gap","Digne","Stage with mountain(s)","Georges Speicher","FRA"
"1811","10",1933-07-07,156,"Digne","Nice","Plain stage","Fernand Cornez","FRA"
"1812","11",1933-07-09,128,"Nice","Cannes","Stage with mountain(s)","Maurice Archambaud","FRA"
"1813","12",1933-07-10,208,"Cannes","Marseille","Plain stage","Georges Speicher","FRA"
"1814","13",1933-07-11,168,"Marseille","Montpellier","Plain stage","André Leducq","FRA"
"1815","14",1933-07-12,166,"Montpellier","Perpignan","Plain stage","André Leducq","FRA"
"1816","15",1933-07-14,158,"Perpignan","Ax-les-Thermes","Stage with mountain(s)","Jean Aerts","BEL"
"1817","16",1933-07-15,165,"Ax-les-Thermes","Luchon","Stage with mountain(s)","Léon Louyet","BEL"
"1818","17",1933-07-16,91,"Luchon","Tarbes","Stage with mountain(s)","Jean Aerts","BEL"
"1819","18",1933-07-17,185,"Tarbes","Pau","Stage with mountain(s)","Learco Guerra","ITA"
"1820","19",1933-07-19,233,"Pau","Bordeaux","Plain stage","Jean Aerts","BEL"
"1821","20",1933-07-20,183,"Bordeaux","La Rochelle","Plain stage","Jean Aerts","BEL"
"1822","21",1933-07-21,266,"La Rochelle","Rennes","Plain stage","Jean Aerts","BEL"
"1823","22",1933-07-22,169,"Rennes","Caen","Plain stage","René Le Grevès","FRA"
"1824","23",1933-07-23,222,"Caen","Paris","Plain stage","Learco Guerra","ITA"
"1825","1",1932-07-06,208,"Paris","Caen","Plain stage","Jean Aerts","BEL"
"1826","2",1932-07-07,300,"Caen","Nantes","Plain stage","Kurt Stöpel","GER"
"1827","3",1932-07-09,387,"Nantes","Bordeaux","Plain stage","André Leducq","FRA"
"1828","4",1932-07-11,206,"Bordeaux","Pau","Plain stage","Georges Ronsse","BEL"
"1829","5",1932-07-12,229,"Pau","Luchon","Stage with mountain(s)","Antonio Pesenti","ITA"
"1830","6",1932-07-14,322,"Luchon","Perpignan","Stage with mountain(s)","Frans Bonduel","BEL"
"1831","7",1932-07-16,168,"Perpignan","Montpellier","Plain stage","Frans Bonduel","BEL"
"1832","8",1932-07-17,206,"Montpellier","Marseille","Plain stage","Michele Orecchia","ITA"
"1833","9",1932-07-18,191,"Marseille","Cannes","Plain stage","Rafaele di Paco","ITA"
"1834","10",1932-07-19,132,"Cannes","Nice","Stage with mountain(s)","Francesco Camusso","ITA"
"1835","11",1932-07-21,233,"Nice","Gap","Stage with mountain(s)","André Leducq","FRA"
"1836","12",1932-07-22,102,"Gap","Grenoble","Stage with mountain(s)","Roger Lapébie","FRA"
"1837","13",1932-07-23,230,"Grenoble","Aix-les-Bains","Stage with mountain(s)","André Leducq","FRA"
"1838","14",1932-07-24,204,"Aix-les-Bains","Evian","Stage with mountain(s)","Rafaele di Paco","ITA"
"1839","15",1932-07-25,291,"Evian","Belfort","Stage with mountain(s)","André Leducq","FRA"
"1840","16",1932-07-26,145,"Belfort","Strasbourg","Plain stage","Gérard Loncke","BEL"
"1841","17",1932-07-27,165,"Strasbourg","Metz","Plain stage","Rafaele di Paco","ITA"
"1842","18",1932-07-28,159,"Metz","Charleville","Plain stage","Rafaele di Paco","ITA"
"1843","19",1932-07-29,271,"Charleville","Malo-les-Bains","Plain stage","Gaston Rebry","BEL"
"1844","20",1932-07-30,212,"Malo-les-Bains","Amiens","Plain stage","André Leducq","FRA"
"1845","21",1932-07-31,159,"Amiens","Paris","Plain stage","André Leducq","FRA"
"1846","1",1931-06-30,208,"Paris","Caen","Plain stage","Alfred Haemerlinck","BEL"
"1847","2",1931-07-01,212,"Caen","Dinan","Plain stage","Max Bulla","AUT"
"1848","3",1931-07-02,206,"Dinan","Brest","Plain stage","Fabio Battesini","ITA"
"1849","4",1931-07-03,211,"Brest","Vannes","Plain stage","André Godinat","FRA"
"1850","5",1931-07-04,202,"Vannes","Les Sables d'Olonne","Plain stage","Charles Pélissier","FRA"
"1851","6",1931-07-05,338,"Les Sables d'Olonne","Bordeaux","Plain stage","Alfred Haemerlinck","BEL"
"1852","7",1931-07-06,180,"Bordeaux","Bayonne","Plain stage","Gérard Loncke","BEL"
"1853","8",1931-07-07,106,"Bayonne","Pau","Plain stage","Charles Pélissier","FRA"
"1854","9",1931-07-08,231,"Pau","Luchon","Stage with mountain(s)","Antonin Magne","FRA"
"1855","10",1931-07-10,322,"Luchon","Perpignan","Stage with mountain(s)","Rafaele di Paco","ITA"
"1856","11",1931-07-12,164,"Perpignan","Montpellier","Plain stage","Rafaele di Paco","ITA"
"1857","12",1931-07-13,207,"Montpellier","Marseille","Plain stage","Max Bulla","AUT"
"1858","13",1931-07-14,181,"Marseille","Cannes","Plain stage","Charles Pélissier","FRA"
"1859","14",1931-07-15,132,"Cannes","Nice","Stage with mountain(s)","Eugenio Gestri","ITA"
"1860","15",1931-07-17,233,"Nice","Gap","Stage with mountain(s)","Jef Demuysere","BEL"
"1861","16",1931-07-18,102,"Gap","Grenoble","Stage with mountain(s)","Charles Pélissier","FRA"
"1862","17",1931-07-19,230,"Grenoble","Aix-les-Bains","Stage with mountain(s)","Max Bulla","AUT"
"1863","18",1931-07-20,204,"Aix-les-Bains","Evian","Stage with mountain(s)","Jef Demuysere","BEL"
"1864","19",1931-07-21,282,"Evian","Belfort","Stage with mountain(s)","Rafaele di Paco","ITA"
"1865","20",1931-07-22,209,"Belfort","Colmar","Stage with mountain(s)","André Leducq","FRA"
"1866","21",1931-07-23,192,"Colmar","Metz","Plain stage","Rafaele di Paco","ITA"
"1867","22",1931-07-24,159,"Metz","Charleville","Plain stage","Raffaele di Paco","ITA"
"1868","23",1931-07-25,271,"Charleville","Malo-les-Bains","Plain stage","Gaston Rebry","BEL"
"1869","24",1931-07-26,313,"Malo-les-Bains","Paris","Plain stage","Charles Pélissier","FRA"
"1870","1",1930-07-02,206,"Paris","Caen","Plain stage","Charles Pélissier","FRA"
"1871","2",1930-07-03,203,"Caen","Dinan","Plain stage","Learco Guerra","ITA"
"1872","3",1930-07-04,206,"Dinan","Brest","Plain stage","Charles Pélissier","FRA"
"1873","4",1930-07-05,210,"Brest","Vannes","Plain stage","Omer Taverne","BEL"
"1874","5",1930-07-06,202,"Vannes","Les Sables d'Olonne","Plain stage","André Leducq","FRA"
"1875","6",1930-07-07,285,"Les Sables d'Olonne","Bordeaux","Plain stage","Jean Aerts","BEL"
"1876","7",1930-07-08,222,"Bordeaux","Hendaye","Plain stage","Jules Merviel","FRA"
"1877","8",1930-07-09,146,"Hendaye","Pau","Plain stage","Alfredo Binda","ITA"
"1878","9",1930-07-10,231,"Pau","Luchon","Stage with mountain(s)","Alfredo Binda","ITA"
"1879","10",1930-07-12,322,"Luchon","Perpignan","Stage with mountain(s)","Charles Pélissier","FRA"
"1880","11",1930-07-14,164,"Perpignan","Montpellier","Plain stage","Charles Pélissier","FRA"
"1881","12",1930-07-15,209,"Montpellier","Marseille","Plain stage","Antonin Magne","FRA"
"1882","13",1930-07-16,181,"Marseille","Cannes","Plain stage","Learco Guerra","ITA"
"1883","14",1930-07-17,132,"Cannes","Nice","Stage with mountain(s)","Louis Peglion","FRA"
"1884","15",1930-07-19,333,"Nice","Grenoble","Stage with mountain(s)","Learco Guerra","ITA"
"1885","16",1930-07-21,331,"Grenoble","Evian","Stage with mountain(s)","André Leducq","FRA"
"1886","17",1930-07-23,282,"Evian","Belfort","Stage with mountain(s)","Frans Bonduel","BEL"
"1887","18",1930-07-24,223,"Belfort","Metz","Plain stage","Charles Pélissier","FRA"
"1888","19",1930-07-25,159,"Metz","Charleville","Plain stage","Charles Pélissier","FRA"
"1889","20",1930-07-26,271,"Charleville","Malo-les-Bains","Plain stage","Charles Pélissier","FRA"
"1890","21",1930-07-27,300,"Malo-les-Bains","Paris","Plain stage","Charles Pélissier","FRA"
"1891","1",1929-06-30,206,"Paris","Caen","Plain stage","Aimé Dossche","BEL"
"1892","2",1929-07-01,140,"Caen","Cherbourg","Plain stage","André Leducq","FRA"
"1893","3",1929-07-02,199,"Cherbourg","Dinan","Plain stage","Omer Taverne","BEL"
"1894","4",1929-07-03,206,"Dinan","Brest","Plain stage","Louis Delannoy","BEL"
"1895","5",1929-07-04,208,"Brest","Vannes","Plain stage","Gustaaf van Slembrouck","BEL"
"1896","6",1929-07-05,206,"Vannes","Les Sables d'Olonne","Plain stage","Paul Le Drogo","FRA"
"1897","7",1929-07-06,285,"Les Sables d'Olonne","Bordeaux","Plain stage","Nicolas Frantz","LUX"
"1898","8",1929-07-07,182,"Bordeaux","Bayonne","Plain stage","Julien Moineau","FRA"
"1899","9",1929-07-09,363,"Bayonne","Luchon","Stage with mountain(s)","Salvador Cardona","ESP"
"1900","10",1929-07-11,323,"Luchon","Perpignan","Stage with mountain(s)","Jef Demuysere","BEL"
"1901","11",1929-07-13,366,"Perpignan","Marseille","Plain stage","André Leducq","FRA"
"1902","12",1929-07-15,191,"Marseille","Cannes","Team time trial","Marcel Bidot","FRA"
"1903","13",1929-07-16,133,"Cannes","Nice","Stage with mountain(s)","Benoît Fauré","FRA"
"1904","14",1929-07-18,333,"Nice","Grenoble","Stage with mountain(s)","Gaston Rebry","BEL"
"1905","15",1929-07-20,329,"Grenoble","Evian","Stage with mountain(s)","Julien Vervaecke","BEL"
"1906","16",1929-07-22,283,"Evian","Belfort","Stage with mountain(s)","Charles Pélissier","FRA"
"1907","17",1929-07-23,145,"Belfort","Strasbourg","Plain stage","André Leducq","FRA"
"1908","18",1929-07-24,165,"Strasbourg","Metz","Plain stage","André Leducq","FRA"
"1909","19",1929-07-25,159,"Metz","Charleville","Team time trial","Bernard van Rysselberghe","BEL"
"1910","20",1929-07-26,270,"Charleville","Malo-les-Bains","Team time trial","Maurice Dewaele","BEL"
"1911","21",1929-07-27,234,"Malo-les-Bains","Dieppe","Plain stage","André Leducq","FRA"
"1912","22",1929-07-28,332,"Dieppe","Paris","Plain stage","Nicolas Frantz","LUX"
"1913","1",1928-06-17,207,"Paris","Caen","Team time trial","Nicolas Frantz","LUX"
"1914","2",1928-06-18,140,"Caen","Cherbourg","Team time trial","André Leducq","FRA"
"1915","3",1928-06-19,199,"Cherbourg","Dinan","Team time trial","Gaston Rebry","BEL"
"1916","4",1928-06-20,206,"Dinan","Brest","Team time trial","Pé Verhaegen","BEL"
"1917","5",1928-06-21,208,"Brest","Vannes","Team time trial","Marcel Bidot","FRA"
"1918","6",1928-06-22,204,"Vannes","Les Sables d'Olonne","Team time trial","Nicolas Frantz","LUX"
"1919","7",1928-06-23,285,"Les Sables d'Olonne","Bordeaux","Team time trial","Victor Fontan","FRA"
"1920","8",1928-06-24,225,"Bordeaux","Hendaye","Team time trial","Maurice Dewaele","BEL"
"1921","9",1928-06-26,387,"Hendaye","Luchon","Stage with mountain(s)","Victor Fontan","FRA"
"1922","10",1928-06-28,323,"Luchon","Perpignan","Stage with mountain(s)","André Leducq","FRA"
"1923","11",1928-06-30,363,"Perpignan","Marseille","Plain stage","André Leducq","FRA"
"1924","12",1928-07-02,330,"Marseille","Nice","Stage with mountain(s)","Nicolas Frantz","LUX"
"1925","13",1928-07-04,333,"Nice","Grenoble","Stage with mountain(s)","Antonin Magne","FRA"
"1926","14",1928-07-06,329,"Grenoble","Evian","Stage with mountain(s)","Julien Moineau","FRA"
"1927","15",1928-07-08,213,"Evian","Pontarlier","Team time trial","Pierre Magne","FRA"
"1928","16",1928-07-09,119,"Pontarlier","Belfort","Team time trial","André Leducq","FRA"
"1929","17",1928-07-10,145,"Belfort","Strasbourg","Team time trial","Joseph Mauclair","FRA"
"1930","18",1928-07-11,165,"Strasbourg","Metz","Team time trial","Nicolas Frantz","LUX"
"1931","19",1928-07-12,159,"Metz","Charleville","Team time trial","Marcel Huot","FRA"
"1932","20",1928-07-13,271,"Charleville","Malo-les-Bains","Team time trial","Maurice Dewaele","BEL"
"1933","21",1928-07-14,234,"Malo-les-Bains","Dieppe","Team time trial","Antonin Magne","FRA"
"1934","22",1928-07-15,331,"Dieppe","Paris","Plain stage","Nicolas Frantz","LUX"
"1935","1",1927-06-19,180,"Paris","Dieppe","Team time trial","Francis Pélissier","FRA"
"1936","2",1927-06-20,103,"Dieppe","Le Havre","Team time trial","Maurice Dewaele","BEL"
"1937","3",1927-06-21,225,"Le Havre","Caen","Team time trial","Hector Martin","BEL"
"1938","4",1927-06-22,140,"Caen","Cherbourg","Team time trial","Camille van de Casteele","BEL"
"1939","5",1927-06-23,199,"Cherbourg","Dinan","Team time trial","Ferdinand Le Drogo","FRA"
"1940","6",1927-06-24,206,"Dinan","Brest","Team time trial","André Leducq","FRA"
"1941","7",1927-06-25,207,"Brest","Vannes","Team time trial","Gustaaf van Slembrouck","BEL"
"1942","8",1927-06-26,204,"Vannes","Les Sables d'Olonne","Team time trial","Raymond Decorte","BEL"
"1943","9",1927-06-27,285,"Les Sables d'Olonne","Bordeaux","Team time trial","Adelin Benoit","BEL"
"1944","10",1927-06-28,189,"Bordeaux","Bayonne","Plain stage","Pé Verhaegen","BEL"
"1945","11",1927-06-30,326,"Bayonne","Luchon","Stage with mountain(s)","Nicolas Frantz","LUX"
"1946","12",1927-07-02,323,"Luchon","Perpignan","Stage with mountain(s)","Gustaaf van Slembrouck","BEL"
"1947","13",1927-07-04,360,"Perpignan","Marseille","Plain stage","Maurice Dewaele","BEL"
"1948","14",1927-07-05,120,"Marseille","Toulon","Team time trial","Antonin Magne","FRA"
"1949","15",1927-07-06,220,"Toulon","Nice","Stage with mountain(s)","Nicolas Frantz","LUX"
"1950","16",1927-07-08,275,"Nice","Briançon","Stage with mountain(s)","Julien Vervaecke","BEL"
"1951","17",1927-07-09,283,"Briançon","Evian","Stage with mountain(s)","Pé Verhaegen","BEL"
"1952","18",1927-07-11,213,"Evian","Pontarlier","Team time trial","Adelin Benoit","BEL"
"1953","19",1927-07-12,119,"Pontarlier","Belfort","Team time trial","Maurice Geldhof","BEL"
"1954","20",1927-07-13,145,"Belfort","Strasbourg","Team time trial","Raymond Decorte","BEL"
"1955","21",1927-07-14,165,"Strasbourg","Metz","Team time trial","Nicolas Frantz","LUX"
"1956","22",1927-07-15,159,"Metz","Charleville","Team time trial","Hector Martin","BEL"
"1957","23",1927-07-16,270,"Charleville","Dunkerque","Team time trial","André Leducq","FRA"
"1958","24",1927-07-17,344,"Dunkerque","Paris","Plain stage","André Leducq","FRA"
"1959","1",1926-06-20,373,"Evian","Mülhausen","Plain stage","Jules Buysse","BEL"
"1960","2",1926-06-22,334,"Mülhausen","Metz","Plain stage","Aimé Dossche","BEL"
"1961","3",1926-06-24,433,"Metz","Dunkerque","Plain stage","Gustaaf van Slembrouck","BEL"
"1962","4",1926-06-26,361,"Dunkerque","Le Havre","Plain stage","Félix Sellier","BEL"
"1963","5",1926-06-28,357,"Le Havre","Cherbourg","Plain stage","Adelin Benoit","BEL"
"1964","6",1926-06-30,405,"Cherbourg","Brest","Plain stage","Joseph van Dam","BEL"
"1965","7",1926-07-02,412,"Brest","Les Sables d'Olonne","Plain stage","Nicolas Frantz","LUX"
"1966","8",1926-07-03,285,"Les Sables d'Olonne","Bordeaux","Plain stage","Joseph van Dam","BEL"
"1967","9",1926-07-04,189,"Bordeaux","Bayonne","Plain stage","Nicolas Frantz","LUX"
"1968","10",1926-07-06,326,"Bayonne","Luchon","Stage with mountain(s)","Lucien Buysse","BEL"
"1969","11",1926-07-08,323,"Luchon","Perpignan","Stage with mountain(s)","Lucien Buysse","BEL"
"1970","12",1926-07-10,427,"Perpignan","Toulon","Plain stage","Nicolas Frantz","LUX"
"1971","13",1926-07-12,280,"Toulon","Nice","Plain stage","Nicolas Frantz","LUX"
"1972","14",1926-07-14,275,"Nice","Briançon","Stage with mountain(s)","Bartolomeo Aimo","ITA"
"1973","15",1926-07-16,303,"Briançon","Evian","Stage with mountain(s)","Joseph van Dam","BEL"
"1974","16",1926-07-17,321,"Evian","Dijon","Plain stage","Camille van de Casteele","BEL"
"1975","17",1926-07-18,341,"Dijon","Paris","Plain stage","Aimé Dossche","BEL"
"1976","1",1925-06-21,340,"Paris","Le Havre","Plain stage","Ottavio Bottecchia","ITA"
"1977","2",1925-06-23,371,"Le Havre","Cherbourg","Plain stage","Romain Bellenger","FRA"
"1978","3",1925-06-25,405,"Cherbourg","Brest","Plain stage","Louis Mottiat","BEL"
"1979","4",1925-06-26,208,"Brest","Vannes","Plain stage","Nicolas Frantz","LUX"
"1980","5",1925-06-27,204,"Vannes","Les Sables-d'Olonne","Plain stage","Nicolas Frantz","LUX"
"1981","6",1925-06-28,293,"Les Sables-d'Olonne","Bordeaux","Plain stage","Ottavio Bottecchia","ITA"
"1982","7",1925-06-29,189,"Bordeaux","Bayonne","Plain stage","Ottavio Bottecchia","ITA"
"1983","8",1925-07-01,326,"Bayonne","Luchon","Stage with mountain(s)","Adelin Benoît","BEL"
"1984","9",1925-07-03,323,"Luchon","Perpignan","Stage with mountain(s)","Nicolas Frantz","LUX"
"1985","10",1925-07-04,215,"Perpignan","Nîmes","Plain stage","Theophile Beeckman","BEL"
"1986","11",1925-07-05,215,"Nîmes","Toulon","Plain stage","Lucien Buysse","BEL"
"1987","12",1925-07-07,280,"Toulon","Nice","Stage with mountain(s)","Lucien Buysse","BEL"
"1988","13",1925-07-09,275,"Nice","Briançon","Stage with mountain(s)","Bartolomeo Aimo","ITA"
"1989","14",1925-07-11,303,"Briançon","Evian","Stage with mountain(s)","Hector Martin","BEL"
"1990","15",1925-07-13,373,"Evian","Mulhouse","Stage with mountain(s)","Nicolas Frantz","LUX"
"1991","16",1925-07-15,334,"Mulhouse","Metz","Plain stage","Hector Martin","BEL"
"1992","17",1925-07-17,433,"Metz","Dunkerque","Plain stage","Hector Martin","BEL"
"1993","18",1925-07-19,343,"Dunkerque","Paris","Plain stage","Ottavio Bottecchia","ITA"
"1994","1",1924-06-22,381,"Paris","Le Havre","Plain stage","Ottavio Bottecchia","ITA"
"1995","2",1924-06-24,371,"Le Havre","Cherbourg","Plain stage","Romain Bellenger","FRA"
"1996","3",1924-06-26,405,"Cherbourg","Brest","Plain stage","Philippe Thys  Théophile Beeckman","c(""BEL"", ""BEL"")"
"1997","4",1924-06-28,412,"Brest","Les Sables-d'Olonne","Plain stage","Félix Goethals","FRA"
"1998","5",1924-06-30,482,"Les Sables-d'Olonne","Bayonne","Plain stage","Omer Huyse","BEL"
"1999","6",1924-07-02,326,"Bayonne","Luchon","Stage with mountain(s)","Ottavio Bottecchia","ITA"
"2000","7",1924-07-04,323,"Luchon","Perpignan","Stage with mountain(s)","Ottavio Bottecchia","ITA"
"2001","8",1924-07-06,427,"Perpignan","Toulon","Plain stage","Louis Mottiat","BEL"
"2002","9",1924-07-08,280,"Toulon","Nice","Stage with mountain(s)","Philippe Thys","BEL"
"2003","10",1924-07-10,275,"Nice","Briançon","Stage with mountain(s)","Giovanni Brunero","ITA"
"2004","11",1924-07-12,307,"Briançon","Gex","Stage with mountain(s)","Nicolas Frantz","LUX"
"2005","12",1924-07-14,360,"Gex","Strasbourg","Stage with mountain(s)","Nicolas Frantz","LUX"
"2006","13",1924-07-16,300,"Strasbourg","Metz","Plain stage","Arsène Alancourt","FRA"
"2007","14",1924-07-18,433,"Metz","Dunkerque","Plain stage","Romain Bellenger","FRA"
"2008","15",1924-07-20,343,"Dunkerque","Paris","Plain stage","Ottavio Bottecchia","ITA"
"2009","1",1923-06-24,381,"Paris","Le Havre","Plain stage","Robert Jacquinot","FRA"
"2010","2",1923-06-26,371,"Le Havre","Cherbourg","Plain stage","Ottavio Bottecchia","ITA"
"2011","3",1923-06-28,405,"Cherbourg","Brest","Plain stage","Henri Pélissier","FRA"
"2012","4",1923-06-30,412,"Brest","Les Sables d'Olonne","Plain stage","Albert Dejonghe","BEL"
"2013","5",1923-07-02,482,"Les Sables d'Olonne","Bayonne","Plain stage","Robert Jacquinot","FRA"
